Noakhali_text,Formal_text
মুই নোয়াখালির বাষা শিখতাম চাই,আমি নোয়াখালির ভাষা শিখতে চাই
আই হানি খাইতান্নো,আমি পানি খাব না
মুই বাসা যামু না,আমি বাড়ি যাব না
আই বাত খাইতান্নো,আমি ভাত খাবো না
মুই মাইজদিতে ম্যালা দিন আছালাম,আমি মাইজদিতে অনেক দিন আসছিলাম
আই রাইত্তা বাত খাই না,আমি রাতে ভাত খাই না
আই রিক্সাত গড়ি আইস্সুম,আমি রিক্সায় করে আসবো
আই ডুলল্গার হাগ দিই ভাত খাইয়ুম,আমি লাল শাক দিয়ে ভাত খাব
আই হগলের দোয়ায় কোন রকম ভালা আছি,আমি সকলের দোয়ায় কোন রকম ভালো আছি
আই হাসুর হারি নঅ,আমি সাঁতার পারি না
আই সামনের মাসে চিটাগান যাইয়ুম,আমি সামনের মাসে চিটাগাং যাব
আই কি স্কুলোত যাইয়ুম?,আমি স্কুলে কি যাবো?
আইও আন্নেরার লগে যাইয়ুম,আমিও আপনাদের সাথে যাব
আইও তোরার লগে যাইয়ুম,আমিও তোদের সাথে যাব
আইও তোয়ারার লগে যাইয়ুম,আমিও তোমাদের সাথে যাব
আইও হালকা বুড়া হইছি,আমিও হালকা বুড়ো হয়েছি
আম্মা তোরে বাজার গরি আইনতু হয়ই,আম্মা তোকে বাজার করে আনতে বলেছে
"আম্মু, শোয়া আইতাছে নাতো",আম্মু ঘুমানো যা যাচ্ছে না
আর পানি গরম দিতে হাইত্তাম ন।,আর পানি গরম দিতে পারব না
আল্লাহ যেন আন্নেগোরে ভালা রাকে,আল্লাহ যেন আপনারে ভালো রাখে
আশা করি ভালো আছো,আশা করি ভালো আছো
আহারে গ্রুপপে কতোদিন অইগেছে সময় দিতাম হারিনা,আহারে গ্রুপে কতোদিন হইছে সময় দিতে পারি না
ইতি আন্নের হইলজ্জার ঠুইকরা,ইতি আপনার কলিজার টুকরা
ইতি আন্নের প্রান প্রিয় বাইগ্না নোয়াখাইল্যা মাছুম,ইতি আপনার প্রান প্রিয় ভাগনে নোয়াখালির মাছুম
অন্নেগো উচ্চারণ হুরাহুরি হেঁইক্কা অয় না,উচ্চারণ পুরোপুরি ঐরকম হয় না
হেতেন কি মাস্টরি করে?,উনি কি শিক্ষকতা করে?
এই বার আই যাই,এ বার আমি যাই
এই গুরুফ কোন বিষয়ের উপ্রে জ্ঞান বিতরণ করে?,এই গ্রুপ কোন বিষয়ের উপর জ্ঞান বিতরণ করে?
এই তারাতারি ঘুমেত্তুন উট,এই তাড়াতাড়ি ঘুম থেকে উঠ
এই তো সামান্য হদ্দুর পরে জাগা ইয়েন পাইবেন,এই তো জায়গাটা সামান্য কিছু দুর পরেই
এই তুর পরা কম্প্লিট অয় ই না?,এই তোর পড়া কম্প্লিট হয়েছে?
এরিন্না মোডা অই গেছত কা?,এইরকম মোটা হয়ে গেছিস কেন?
একটা হথা বলার ছিলো,একটা কথা বলার ছিলো
ওগআ টিয়া দিলে আন্নে সত্তর টিয়া হাইবেন,একটা টাকা দিলে আপনি সত্তর টাকা পাবেন
অজ্ঞা চিবা লই আন,একটা বেত নিয়ে আস
এদ্দিন তোগোরে হালাই চলি যাইয়ুম,একদিন তোমাদের ছেড়ে চলে যাব
এহন অনেরা হডে যাইবেন?,এখন আপনারা কোথায় যাবেন?
এখন ছোত করে যান,এখন তাড়াতাড়ি করে যান
এহন তোয়ারা হডে যাইবে?,এখন তোমরা কোথায় যাবা?
এহন তোরা হডে যাবি?,এখন তোরা কোথায় যাবি?
অন বড় বড় কতা কও,এখন বড় বড় কথা বল
এহন ও হইত ন পারি,এখনও বলতে পারছি না
ইয়ান তুন খাই যান,এখান থেকে খেয়ে যান
ইয়ান তুন বাসাত আডিই যান যায়,এখান থেকে বাসায় হেঁটেই যাওয়া যায়
এখানে খাঁটি হইরেত তেল পাওয়া যায়,এখানে খাঁটি সরিষার তেল পাওয়া যায়
এগুনের বেঙ্গাইন্না কথা হুইনলে আঙ্গো শরম করে,এগুলার বাংলা কথা শুনলে আমাদের শরম করে
হেগুনরে পুলিশ'দি ধরাই আঙ্গো গ্রুপে জয়েন করাই দেই,এগুলোরে পুলিশ দিয়ে ধরিয়ে আমাদের গ্রুপে জয়েন করিয়ে দেই
হিয়ান আবার কোন কতা,এটা আবার কোনো কথা
"ইগা আঙ্গো গ্রুপ ন,আঙ্গো পরিবার","এটা আমাদের গ্রুপ না,আমাদের পরিবার"
ইয়েন এডেততুন হদ্দুর দুরে?,এটা এখান থেকে কতদূর?
ইবে কি হন মিক্কে পা যায়বু না?,এটা কি কোথাও পাওয়া যাবে?
হিয়ান তো আই-ই কইছি,এটা ত আমি বলেছি
এবারে কইলাম তোরে বোত মিছ করিয়ের,এবারে কইলাম তোকে বহুত মিস করিরে
ইয়াারতুন সহজ উপায় কেউ অন্নেরে দিতে হাইত্ত না,এর থেকে সহজ উপায় কেউ আপনাকে দিতে পারত না
হিয়াল্গুন ইয়ানে আয়,ওখান থেকে এখানে আস
এডে বহুত মজা গইরজি,ওখানে অনেক মজা করেছি
ইতের এহন কি অবস্থা?,ওর এখন কি অবস্থা?
ইতের হতা মনে আছেনা?,ওর কথা মনে আছে?
ইতের লগে তুর দেহা অয়ই না,ওর সাথে কি তোর দেখা হয়েছে
ইতের লগে দেহা ন অ?,ওর সাথে কি দেখা হয় নাই?
ইতের লগে দেহা অইলি হইস আর লগে দেহা গইরতু,"ওর সাথে দেখা হলে বলিস, আমার সাথে দেখা করতে"
"কতা হুইনলে মনে অয়, হেগুনে আঙ্গোরে বেঙ্গায়","কথা শুনলে মনে অয়, এরা আমাদের ভেঙ্গায়"
হথা হুনে বেকে আশে,কথা শুনে সবাই হাসে
তোরে জোর করি বিয়া দেন ওইছে,তোমাকে জোর  করে বিয়ে দেয়া হয়েছিল
হেতন তিনবেলা ভাত খাইতো হারে নাহ,তিনি  দুইবেলা ভাত খেতে পারেন না
তোর পাশে থাইক্লে আই কল্পনার তুন বেশি সুখী থাই,তোমার পাশে  থাকলে আমি কল্পনার চেয়েও বেশি সুখী থাকি
আম্মা আইজকা খানাত নুন কম দিছে,আম্মু আজকে খাবারে লবণ কম দিয়েছে
আর আম্মা বেক সময় ভালাই হাসি খুশি থায়,আমার আম্মু সব সময় বেশ হাসি খুশি থাকে
তোর লাই এতো কিছু করিও আর কোন লাভ ও নো,তোমার জন্য এত কিছু করেও কোন লাভ হলো না
আন্নে আরে আর কত অবাক কইরবেন,আপনি আমাকে আর কত অবাক করবেন
আন্নে একা্কেনা কম চাপাবাজি করেন,আপনি একটু কম চাপাবাজি করেন
আইজ্জা আর ছোট বইন হাক কইচ্চে,আজকে আমার ছোট বোন রান্না করেছে
খানাত্তে লবণ এক্কেনা বেসি অই গেসে,খাবারে লবণ একটু বেশী হয়ে গেসে
খানাত্তে লবণ কম অইলে আরো ভালা লাইগদ,খাবারে লবণ কম হলে আরো ভালো লাগতো
আইজ্জা আই বাইরে যামুই,আজকে আমি বাহিরে যাবোই
আন্নে একা একা বাইরে ঘুইত্ত যান,আপনি একা একা বাহিরে ঘুরতে যান
আই খুব  জোস মেকআপ করি,আমি খুব  জোস মেকআপ করি
তুই এক্কেরে না বুঝি বেশি কথা কো,তুমি একদমই না বুঝে বেশী কথা বলো
"আন্নেরে কিছু কোন লাগে না, আন্নে এন্নেই আর মনের কথা বুঝি যান","আপনাকে কিছু বলা লাগে না , আপনি এমনিতেই আমার মনের কথা বুঝে যান"
তোওয়ার চোকেত্তুন আন্য মাইয়ার মুই,তোমার চোখ থাকে অন্য মেয়েদের দিকে
তোওয়ার বিবাহিত জীবন সুকের ওক,তোমার বিবাহিত জীবন সুখের হোক
আন্ডা বাসার দাওয়ান রাইচ্চা মদ খায়,আমাদের বাসার দারওয়ান রাতে মদ খায়
আর জামাই রাইচ্চা বন্ধুদের লোগে আড্ডা দেয়,আমার স্বামী রাতে বন্ধুদের সাথে আড্ডা দেয়
আই আর আব্বু্ বিয়া বাইত যাইয়ের,আমি আর আমার আব্বু বিয়ে বাড়িতে যাচ্ছি
তুই আন্ডার কাছে ধরা খাইবার হরেও হরকীয়া করার কথা স্বীকার কররনা,তুমি আমার  কাছে ধরা পড়ার পরেও পরকীয়া করার কথা স্বীকার করছ না
ইজ্ঞা বিবাহিত মহিলা রাস্তা দি হাডি যার,একটা বিবাহিত মহিলা রাস্তা দিয়ে হেতে যাচ্ছে
আর আম্মু আর হরাশোনার খরচ দিত চায় না,আমার আম্মু আমার পড়াশোনার খরচ দিতে চায় না
আর মা অনেক কষ্ট করি আন্ডারে বড়প কইচ্চে,আমার মা অনেক কষ্ট করে আমাদের বড় করেছেন
তোওইয়ার ছোট ভআই আগে নেশায় আসক্ত আসিল,তোমার ছোট ভাই  আগে নেশায় আসক্ত ছিল
হোলা ইয়া হারাদিন বাইরে বাইরে থাকে,ছেলেটি সারাদিন বাহিরে বাহিরে থাকে
আর হু চাচারাও অনেক ভালবাসে,আমার ফুফু চাচারাও আমাকে অনেক ভালবাসে
আর আম্মু আগের তুলনা অন অনেক ভালা আসে,আমার আম্মু আগের তুলনায় এখন অনেক ভালো আছেন
আই আর ছোট বইন আইজ্জা খালামুনির বাসাত ঘুইরত যাইব,আমি আর আমার ছোট বোন আজকে  খালামুনির বাসায় ঘুরতে যাবো
আর বড় বইন এতো বেয়ানে ঘুমেত্তুন উঠতো হাইত্ত নো,আমার বড় বোন এতো সকালে ঘুম থেকে উঠতে পারে না
আর বড় বইন প্রচন্ড অলস ইজ্ঞা কাজ সময় মতন কইত্ত হারে না,আমার বড় বোন প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না
আন্নের লগে আর ইজ্ঞা জরুরি কথা আসে,আপনার সাথে আমার একটা জরুরি কথা আছে
বেয়ানে সবরে উঠি বাইরে এক্কেনা হাটি আইয়োন খুব উপকারী,সকালে তাড়াতাড়ি উঠে বাহিরে একটু হেঁটে আসা খুব উপকারী
তুই কি আম ইয়া খাইসিলানে?,তুমি কি আমটি খেয়েছিলে ?
বাগানেত্তে যাই আর ছোট ভাই যাই  দৌড়াইসে,বাগানের মধ্যে গিয়ে আমার ছোট ভাই দৌড়াল
আন্নে হুটবল খেলায় হারি গেসে,আপনি ফুটবল খেলায় হেরে গেলেন
তুই ক্রিকেট খেলায় জিতলে,তুমি ক্রিকেট খেলায় জিতলে
তুই এডে থাকি যা,তুই এখান থেকে যা
আন্নে কি আরে দয়া করি বিশ্বাস করেন,আপনি আমাকে দয়া করে  বিশ্বাস করেন
ছোট বাাইচ্চা ইয়া অসুস্থ অই হইচ্চে,ছোট শিশুটি  অসুস্থ হয়ে পরেছে
তুই কি আরে লাই অফেক্ষা কইরতে হাইরবা নে?,তুমি কি আমার জন্য অপেক্ষা করতে পারবে ?
তুই আর কাছে মাফ চো,তুমি আমার কাছে  ক্ষমা চাও
আই বিয়ালে এক্কেনা ঘুমাই লইসি,আমি বিকালে একটু ঘুমিয়ে নিলাম
আর আব্বু বড় বইনের উফরে রাগি গেসে,আমার আব্বু বড় ভাইয়ের উপর রেগে গেছিলেন
তোওয়ার কথাা হুনি আই খুব অবাক অই গেসিলাম,তোমার কথা শুনে আমি খুব অবাক হয়ে গেছিলাম
তোওয়ার কি মাথা ব্যাথা কইচ্চে নি?,তোমার কি মাথা ব্যাথা করছে ?
আর আত খরচের টেয়া আর আব্বু দেয়,আমার হাত  খরচের টাকা আমার আব্বু দেয়
আর বইন ইদানিং অনেক খারাপ আচরন করে,আমার বোন ইদানীং অনেক খারাপ আচরন করে
আই যেই হোলা ইয়ারে হসন্দ হেতে আর হরিবারের কাওরে সম্মান করে না,আমি যেই ছেলেকে পছন্দ করি সে আমার পরিবারের কাউকে সম্মান করেনা
মাইয়া ইয়া হেতিরে বিয়া কত্ত নো কইদিসে,মেয়েটি তাকে বিয়ে করবে না বলে দিয়েছে
মাইত্তুন বিয়ার লাই আর লাই মাইয়া দেয়া শুরু কইচ্চে,বাড়ি থেকে বিয়ের জন্য আমার জন্য মেয়ে  দেখা শুরু করলো
আর বিয়া তোওয়ার ছোড ভইনেরর লগে ঠিক অইসে,আমার বিয়ে তোমার ছোট বোনের সাথে ঠিক হয়েছে
হোলা ইয়া আরও দুই বছর হয়ে বিয়া কইরতো চায়,ছেলেটি আরও দুই  বছর পরে বিয়ে করতে চায়
বাবা আন্ডার বেজ্ঞুন সম্পত্তি বেসি আন্ডারে লই গেরামের বারি চলি আইসে,বাবা আমাদের সমস্ত সম্পত্তি বিক্রি করে আমাদের নিয়ে গ্রামের বাড়িতে চলে আসছে
আই বেকেরে বুঝাই বুঝাই ক্লান্ত যে আর আম্মু এইচ্চা কিছু করেনো,আমি  সবাইকে বুঝিয়ে বুঝিয়ে ক্লান্ত যে আমার আম্মু  এরকম কিছু করে  নাই
হেতেরগো হারিবারিক ভাবেই বিয়া অইসে,তাদের পারিবারিক ভাবেই বিয়ে হয়েছে
হেতেগো গেরামে বইয়া অইসিলো,তাদের প্রেম করে বিয়ে হয়েছিল
আর শাশুড়ি  অনেক ভালা হাক করে,আমার শাশুড়ি অনেক ভালো রান্না করে
বাবা অশিক্ষিত হোলা ইজ্ঞার লগে আর বিয়া দিতো চাইচিলো,বাবা অশিক্ষিত একটা ছেলের সাথে আমার বিয়ে  দিতে চেয়েছিল
আব্বু মান সম্মানের ভয়ে মামলা করেনো,আব্বু মান সন্মানের ভয়ে মামলা করেননি
হোলা ইয়া চাচার ভয়ে হেতের বাবারে আসা কথা কইত হারেনো,ছেলেটি চাচার ভয়ে তার বাবাকে সত্যি কথা বলতে পারেনি
হে সময় আই খুব ছোড আর মারা গেসে,আমি তখন খুব ছোট যখন আমার মা মারা গিয়েছিল
গেরামেত্তুন আইয়োন হোলা ইয়া অন ঢাকাত হড়ালেয়া কইচ্চে,গ্রামের থেকে আসা ছেলেটি এখন ঢাকায় পড়াশুনা করছে
আন্ডার লোগে তার হরিচয় অইসে স্কুলে যাই,আমার সাথে তার পরিচয় হয়েছে স্কুলে গিয়ে
আন্ডারে দয়া করি হরামরশ দেন আই অন কিয়া কইত্তাম হারি,আমাকে দয়া করে পরামর্শ দিন আমি এখন কি করতে পারি
আন্ডা বাইরে ঘুইরত যাইবার কোন ইচ্ছা আসিল না,আমার বাহিরে ঘুরতে যাওয়ার কোন  ইচ্ছা ছিল না
হোলা ইয়া সিগারেত খাইতে হসন্দ করে না,ছেলেটা সিগারেট পর্যন্ত খায় না
প্রথম দিকে আন্নেরে আই এত ভালোবাইসতাম না,প্রথমদিকে আপনাকে আমি এত  ভালোবাসতাম না
হোলা ইয়া সপ্তাখানিক আগে আন্ডা লোগে দেয়া কইচ্চে,ছেলেটি সপ্তাহখানেক আগে  আমাদের সাথে দেখা করেছে
অই মাইয়া ইয়া যেন্নেই  ওক খুজি বাইর করন লাইগব,ওই মেয়েকে যেভাবেই হোক  খুঁজে বের করতে হবে
অই হোলা ইয়ার ঘটনা হুনি আন্ডা হেতেরে সাহায্য কইচ্ছি,ছেলেটির ঘটনা শুনে আমরা তাকে সাহায্য করি
হলা ইয়া হরিবার সহ ঈদের আগের দিন আন্ডার লগে দেখাই কত্তে আইসে,ছেলেটি তার পরিবারসহ  ঈদের আগের দিন আমাদের সাথে দেখা করতে আসে
মাইয়া ইয়া বাংলাদেশে আই তার হসন্দ মতন হলার লগে বিয়া ঠিক কইচ্চে,মেয়েটি বাংলাদেশে এসে তার পছন্দের ছেলের সাথে  বিয়ে ঠিক করেছে
আন্ডা এলাকায় কেরোসিন তেলের দাম বারি গেসে,আমাদের এলাকায় কেরোসিন তেলের দাম বেড়ে গেছে
আর হতিদিন গম খাইতে খুব ভালা লাগে,আমার প্রতিদিন পেয়ারা খেতে খুব ভালো লাগে
গম আর ফ্রিও হল,পেয়ারা আমার প্রিয় ফল
আর আব্বু হতিদিন নাইরকেলের হানি খায়,আমার আব্বু প্রতিদিন নারিকেল পানি পান করে
আর দাাদার বাড়ির হিসকিনাদ্দি এক্কান গম গাস আসে,আমার দাদার বাড়ীর পিছনে একটি পেয়ারা গাছ আছে
আম্মু হাজ্ঞরেত্তে বই মুরগির মাংস রান্দদের,আম্মু রান্নাঘরে বসে মোরগের মাংস রান্না করছে
গেরামের মানুষেরা মাটির হাতিলে ফাক করে,গ্রামের মানুষরা মাটির পাতিলে রান্না করে
আর  ভাই শিমের তরকারি দি ভাত খাইলে খুব ভালোবাসে,আমার ছোট ভাই  শিমের তরকারী দিয়ে ভাত খেতে খুব ভালবাসে
এই বাইচ্চা্ ইয়া হাকা পেঁপে খার,এই শিশুটি পাকা পেঁপে খাচ্ছে
আব্বু গেরামেত্তুন আইবার সময় বহুত বড্ডা বড্ডা কিনি আইঞ্চে,আব্বু গ্রাম থেকে আসার সময় অনেক বড় বড় জাম্বুরা কিনে এনেছে
আর আম্মু জামরুল খার,আমার আম্মু জামরুল খাচ্ছে
আর ছোট ভাই বিয়ালে সাদে উঠি লগের ঘরের সাদে কইতর দেখি,আমার ছোট ভাই বিকালে ছাদে উঠে পাশের বাসার ছাদের কবুতর দেখে
আন্ডা গেরামের বাড়িত কতুগুন মুরগির সা আসে,আমাদের গ্রামের বাড়িতে অনেক গুলা  মুরগির বাচ্চা আছে
বাইচ্চা ইয়াা এক্কান মুরগির সা কলে লইসে,শিশুটি একটি মুরগির বাচ্চা কলে নিয়েছে
আর ছোট ভোইন খুবি বোকা,আমার ছোট বোন খুবই  বোকা
গেরামের বাড়ি জাই আই অসসর অসসর হাসুর কাইসসি,গ্রামের বারি গিয়ে আমি একা একা  সাঁতার  কেটেছি
আর আব্বু আম্মু ভাই ভোইন ড্রয়িংরুমে বই রইসে,"আমার আব্বু , আম্মু , ভাই, বোন ড্রয়িংরুমে বসে আছে"
আন্ডা  ঘরের স্টোররুম ইয়া  অনেক বড়,আমাদের ঘরের স্টোররুমটি অনেক বড়
বাইচ্চা এক্কান বিলাইর সারে আদর কইচ্ছে,শিশুটি একটি বিড়াল ছানাকে আদর করছে
লাকড়ির চুলা রাইন্তে করা খানা খুব মজা,লাকড়ির চুলায় রান্না করা খাবার খুব মজা
আর বড়া ভাই বেজ্ঞুন তরকারির ঝোল আর খুব হসন্দ,আমার বড় ভাই বেগুন তরকারির ঝোল দিয়ে দুপুরে ভাত খেয়েছে
আর আব্বু লাই দি চিংড়ি মাসের ঝোল আর খুব হসন্দ,আমার আব্বু লাউ দিয়ে চিংড়ি মাছের ঝোল খুব পছন্দ করে
আর শীতের দিনে গোসল কইত্তে ভালা লাগে না,আমার শীতের দিনে গোসল করতে ভালো লাগে না
আর ভোন গেরামের বাড়ীত যাই হইরেত্তে গোসল করে,আমার বোন গ্রামের বাড়ীতে গিয়ে পুকুরে গোসল করে
আর আম্মু বলে তেতই খাইলে আর বুদ্ধিকমি যাইব,আমার আম্মু বলে যে তেঁতুল  খেলে  আমার বু দ্ধিকমে যাবে
আর আব্বু্ বাজারেত্তুন আন্ডারলাই তেতই কি আইঞ্চে,আমার আব্বু বাজার থেকে আমাদের জন্য তেঁতুল কিনে এনেছে
আর গেরামের বাড়ীর উঠান অনেক বড়,আমার গ্রামের বাড়ীর উঠান অনেক বড়
এই বাইচ্চা ইয়  গেরামের ঊঠানে খেলের,এই শিশুটি গ্রামের বাড়ীর উঠানে খেলছে
ছোট বাইচ্ছা ইয়া অনেক অসুস্ত,ছোট বাচ্চাটি অনেক অসুস্থ
এক্কান আহত বাইচ্চা রাস্তায় খাবই কান্দের,একটি আহত শিশুটি রাস্তায় দাঁড়িয়ে কাঁদছে
আর ছোট ভোইনরে আইজ্জা বেয়ানে হাস্ফাতালে নি গেসে,আমার ছোট বোনকে আজকে সকালে হাসপাতালে নেয়া হয়েছে
আব্বু কইসে বৃষ্টি অইলেও বারান্দাত গাসে হানি দিবার দরকার নাই,আব্বু বলেছে বৃষ্টি হলে বারান্দার গাছে পানি দেওয়ার প্রয়োজন নাই
আর আম্মু বৃষ্টি অইলেও বারান্দাত গাসে হানি দেয়,আমার আম্মু বৃষ্টি হলেও বারান্দার গাছে পানি দেয়
আব্বু কইসে গাসে অতিরিক্ত হানি দিলে গাস মরি যায়,আব্বু বলেছে গাছে অতিরিক্ত পানি দিলে গাছ মারা যায়
কাইল্লা বিয়ালে আন্ডা এদে অনেক বৃষ্টি অইসে,গতকাল বিকালে আমাদের এখানে অনেক বৃষ্টি হয়েছে
আর আম্মু্ আইজ্জা শশার তরকাতি ফাক কইচ্চে,আমার আম্মু আজক শশার তরকারি রান্না করেছে
গরমের দিনে নুন দি শশা খাইতে খুব ভালা লাগে,গরমের দিনে লবণ দিয়ে  শশা খেতে খুব ভালো লাগে
শশা খাইতে অনেক ভালা,শশা খেতে অনেক সুস্বাদু
আব্বু আইজ্জা বেয়ানে বাজারেত্তুন টমাটু কি আইঞ্চে,আব্বু আজকে সকালে বাজার থেকে টমেটো কিনে এনেছে
দিন দিন টমাটুর বারি গেসে,দিন দিন টমেটোর দাম বেড়ে চলছে
আর সরিষার তেল দি মাছ ভাজি খুব ভালা লাগে,আমার সরিষার তেল দিয়ে মাছ ভাজা খেতে খুব ভালো লাগে
আর দাদা চুলে সরিষার তেল দেয়,আমার দাদা চুলে সরিষার তেল দেয়
আর নানা কইসে সরিষার তের চুল হোড়া কমায়,আমার নানা বলেছে সরিষার তেল চুল পড়া কমায়
এক্কান কৃষক বাজারে টমাটু বেসের,এক কৃষক বাজারে টমেটো বিক্রি করে
আর আব্বু গাত সরিষার তেল লাগায়,আমার আব্বু গায়ে সরিষার তেল মালিশ  করে
দিন দিন আই খুব অসুস্ত অই যাইয়ের,দিন দিন আমি খুব অসুস্থ হয়ে যাচ্ছি
যিয়েনে হিয়েনে সেপ হেলন একদম নিষেধ,যেখানে সেখানে থুথু ফেলা একদম নিষেধ
আর আম্মু কইসে হতিদিন তেতই খাইলে আর গায়েত্তে রক্ত হানি অই জাইব,আমার আম্মু বলেছে প্রতিদিন তেতুল খেলে আমার শরীরের রক্ত পানি হয়ে যাবে
আর ছোটভাইয়ের ফ্রিও ফল অইলো জামরুল,আমার ছোট ভাইয়ের প্রিয় ফল হলো জামরুল
বাইচ্চা ইয়ার কিছু দিন ধরি সর্দি কাশি,শিশুটির কিছু দিন ধরে সর্দি কাশি
আন্ডা গেরামের বাজারে অনেক বড্ডা ইজ্ঞা দেশী মুরগির দোয়ান আসে,আমাদের গ্রামের বাজারে অনেক বড় একটি  দেশী মুরগীর দোকান আছে
বেয়ানে ঘুমেত্তুন উঠি নাইরকেল এর হানি খাইতে আর খুব ভালা লাগে,সকালে ঘুম থেকে উঠে নারিকেল পানি খেতে আমার খুব ভালো লাগে
আই আইজ্জা শিম ভাজি দি দুফুরে ভাত খাইসি,আমি আজকে শিম ভাজি  দিয়ে দুপুরে ভাত খেয়েছি
মা আর লাই শিম ভাজি দি দুফুরে ভাত খাইসি,মা আমার জন্য শিম ভাজি রান্না করছে
আম্মু ফাকঘরে বই মাটির হাতিলে মাংস রান্না কইচ্চে,আম্মু রান্নাঘরে বসে মাটির পাতিলে মুরগির মাংস রান্না করছে
অনেক মানুষই শখের লাই ছাদের অচে কইতর হালে,অনেক মানুষই শখের বশে ছাদের উপর কবুতর পালন করে
দুুইদিন ধরি আর অনেক সর্দি-জ্বর,দুইদিন ধরে আমার অনেক সর্দি-জ্বর
বেয়ানে ঘুমেত্তুন উঠিই ঘরের স্টোররুমগা হরিষ্কার করন লাইগবো,সকালে ঘুম থেকে উঠেই ঘরের স্টোররুমটি পরিষ্কার করতে হবে
লবণ দি গম খাইতে আর ছোট ভোইন খুব হসন্দ করে,লবণ দিয়ে পেয়ারা খেতে আমার ছোট বোন খুব পছন্দ করে
মা ফাকঘরে বসি আর বাবার লাই শিমের তরকারি রাইঞ্চে,মা রান্নাঘরে বসে আমার বাবার জন্য শিমের তরকারি রান্না করছে
আই আর আব্বু কাইল্লা সিলেটেত্তুন ঢাকা আইসি,আমি আর আব্বু গতকাল সিলেট থেকে ঢাকায় এসেছি
আম্মু লাকড়িস চুলাত রাইঞ্চে,আম্মু লাকড়ির চুলায় রান্না করছে
আর স্কুলে কোনো খেলাত মাঠ নাই,আমার বড় বোনটি কাঁচা আমের শরবত খেতে খুব ভালবাসে
এই বকা হলা ইয়া দুইদিন ধরি হড়ালেয়া করের না,এই বকা ছেলেটি দুইদিন ধরে পড়ালেখা করছে না
