Noakhali_text,Formal_text
হুদা বাপ মা নন বাংলাদেশ তুন ফ্রত্যেক বছর এগগা বা দুগা এমআইটিত হড়ার সুযোগ হায়,শুধু বাবা মা নন বাংলাদেশ থেকে প্রত্যেক বছর একটা বা দুইটা এমআইটিত পড়ার সুযোগ পায়
তবে এইবার আই একমাত্র সুযোগ আই সুযোগ ইয়ান হাইসি,পায় তবে এবার আমি একমাত্র সুযোগ পাই সুযোগ এটা পেয়েছি
অবাক হইসি আর আনন্দ তো আছেই।,অবাক হয়েছি আর আনন্দ তো আছেই।
মহিলা কলেজে আর মা কামরুন নাহার হাজিগঞ্জ মডেল কলেজে,মহিলা কলেজে আর মা কামরুন নাহার হাজিগঞ্জ মডেল কলেজে
শিক্ষকতা করে দুই ভাইবোনের ভিত্তে হেতে বেকের ছোট,শিক্ষকতা করে দুই ভাইবোনের ভিতরে সে সবার ছোট
"এক রাইতে দুইগা বড় অঘটন ঘুইটছে রাজশাহিতে,","এক রাইতে দুটা বড় অঘটন ঘটেছে রাজশাহিতে, "
"দুইগা হোলারে মাইরা হালাইসে,","দুটা ছেলেকে মেরে ফেলছে,"
" হেগোর মধ্যে ইকগা বড় ডাক্তার, আরেকইজ্ঞা গেরামের ডাক্টার "," তাদের মধ্যে একটি বড় ডাক্তার, আরেক জন গ্রামের ডাক্তার "
ইস্কুলের হোলারে বলে কোবাই হালাইসে ডাকাইতরা,ইস্কুলের ছেলেকে নাকি কুপিয়ে ফেলছে ডাকাতরা
হেগো ইকগার গাত গায়ে পঞ্ছাশগা আরেকগার গায়ে তিরিশগা সেলাই দেওন লাইসে।,তাদের একজনের গায়ে গায়ে পঞ্ছাস টা আরেকজনের গায়ে ত্রিশটা সেলাই দেওয়া লেগেছে
কিছুদিন আগে কেউ বলে ইকগা কলেজের হোলা মইরছে,কিছুদিন আগে কেউ বলে একটা কলেজের ছেলে মারা গেছে
ওগো হাতে এইসব ছিনতাই আর খুনের লাইগা,তাদের হাতে এইসব ছিনতাই আর খুনের জন্য
"রাজশাহীর মাইনসে এহন আইন লইয়া চিন্তায় হরি গেছে,",রাজশাহীর মানুষ এখন আইন নিয়ে চিন্তায় পড়ে গেছে
শান্তির রাজশাহীতে নাকি এহন সন্ধ্যা হইলে অশান্তি,শান্তির রাজশাহীতে নাকি এখন সন্ধ্যা হলে অশান্তি
নামি আইয়ে এর মধ্যে তুঁই আসছ তোর ঝামেলা লই,নেমে আসছে এর মধ্যে তুমি আছো তোমার ঝামেলা নিয়ে
এই রামদা চাপাতি চাইনিস দা লই,এই রামদা চাপাতি চাইনিজ দা নিয়ে
ওই ফেসবুকে বলে ভিডিও দিসে হ্যানে হেরা বলেন,ওই ফেসবুকে নাকি ভিডিও দিয়েছে সেখানে তারা বলে্ন
গান বাজাই এইসব অস্ত্র লইয়া নাইছে,গান বাজিয়ে এসব অস্ত্র নিয়ে নাচে
এহন হোলাহাইনের ভিডিও করে,এখন ছেলেদের ভিডিও করে
রাজশাহীর শা মকদুম থানার গানহাড়ার হুলিশ কয়,রাজশাহীর শাহ মখদুম থানার গানপাড়ার পুলিশ বলেন
এই ভিডিও নাকি আরও চাইরমাস আগের,এই ভিডিও নাকি আরো চার মাস আগের
নিজেগো মইধ্যে বনি বনা না অই এমন কইচ্ছে,নিজেদের মধ্যে বনি বনা না হয়ে এমন করেছে
জী স্যার অনেক বেশি কষ্ট হাইসিলাম,জি স্যার অনেক বেশি কষ্ট পেয়েছিলাম
ছোটবেলার তুন আই স্বপ্ন দেইখতাম,ছোটবেলার থেকে আমি স্বপ্ন দেখতাম
একদিন আই সিনেমার হিরো হমু,একদিন আমি সিনেমার হিরো হব
"আয়নার সামনে দাড়াই কতবার প্র্যাকটিস কইরছি,",আয়নার সামনে দাঁড়িয়ে কতবার প্র্যাকটিস করেছি
অনেক আত্মবিশ্বাস আছিলাম আই কিন্তু,অনেক আত্মবিশ্বাস ছিলাম আমি কিন্তু
"কিন্তু আন্নের কতাডি হুনার হর আর স্বপ্ন বেগগিন ভাঙ্গি গেছে, ",কিন্তু আপনার কথাগুলো শোনার পর আমার স্বপ্ন সবগুলো ভেঙে গেছে
"আই অনেক বেশি চিরাস হোলা্গা কইল হেংলা, আর চাপা ভাংগা,",আমি অনেক বেশি চিরাস ছেলেদের বললেন হ্যাংলা চাপা ভাঙ্গা
" আর চোয়াল কইতে গেলে নাই, চেহারা মোটেও নায়কের মত ন",আর চুয়াল বলতে গেলে নেই চেহারা মটর নায়কের মত নয়
"আমনে জানেন না আমনের কথা গুলা আরে এক্কেরে কিভাগে শেষ করি দিসে হেদিন,",আপনি জানেন না আপনার কথাগুলো আমাকে একেবারে কিভাবে শেষ করে দিয়েছে সেদিন
"সরি বলা তাছাড়া আর কিই কইতে হারি,",সরি বলা তাছাড়া আর কি বা করতে পারি
অইদিন আন্নে ইন্টারভিউতে বেকের সামনে আরে লই গেসিলেন,ঐদিন আপনি ইন্টারভিউতে সবার সামনে আমাকে নিয়ে গিয়েছিলেন
"তুঁই কইছো নায়লার লাই আই তোয়ারে কষ্ট দিসি , ",তুমি বলেছ নায়লার জন্য আমি তোমাকে কষ্ট দিয়েছি
ইগা কিল্লাই কইছো তুঁই,এটা কিভাবে বলেছ তুমি
তারপর থেকে একের পর এক অপমানজনক কথা,তারপর থেকে একের পর এক অপমানজনক কথা
আন্নে আরে বেইজ্জত কইত্তেছেন বেকের সামনে,আপনি আমাকে বেজ্জতি করেছেন সবার সামনে
আই বুইজ্জি আন্নের মইধ্যে অনেকদিন ধরি রাগ জমি আছে,আমি বুঝেছি আপনার মধ্যে অনেকদিন ধরে রাগ জমে আছে
" হেল্লাই, এই কথাগিন হুননের হর আর জীবনে এক্কেরে তছনছ হই গেছে,",এজন্যই এ কথাগুলো শোনার পর আমার জীবনে একেবারে তছনছ হয়ে গিয়েছে
ইয়ার হরে তুন সত্যি কথা কইতে আই জীবনে  এতটা ভাঙ্গি হরি ন,এরপরে থেকে সত্যি কথা বলতে আমি জীবনে এতটা ভেঙ্গে পরি নি
কি করুম বুইযতাম হারিয়েন না,কি করবো বুঝতে পারছিনা
সেজ ভাইর বাসা একটা সারকাস,সেজো ভাইয়ের বাসা একটা সার্কাস
অনেক রাত হরযন্ত অ্যাডের লোকেরা কাজ করে ইয়ানে।,অনেক রাত পর্যন্ত এডের লোকেরা কাজ করে এখানে
আর বেলা হইলে ঘুম যায়।,আর বেলা হলে ঘুম যায়
ঘর নাই দেই ঘুমাইতাম হারিয়ের না,ঘর নেই দেখে ঘুমাইতে পারছিনা
সেইজ্জা ভাইও চাকরি করে তাই আই সারাদিন একাই,সেজো ভাইও চাকরি করে তাই আমি সারাদিন একাই
কিন্তু সন্ধার হইলেই নিজেরে লুকানোর জায়গা হাইনা,কিন্তু সন্ধ্যা হলে নিজেকে লুকানোর জায়গা হয় না
অনেক মানুষ আইয়ে আগে শুটিং দেইখতা ভাল লাইগত,অনেক মানুষ আসে আগে শুটিং দেখতে ভালো লাগতো
কিন্ত অন আর লাগে না হেতারা কেননে জানি তাকায় আর দিকে,কিন্তু এখন আর লাগেনা তারা কিভাবে জানি তাকায় আমার দিকে
এর উপরে আবার চা দেয়ন হানি দেয়,এর উপর আবার চা দেওয়া পানি দেওয়া
একটা চাকরি রি হাইলে ভাল হইত,একটা চাকরি পেলে ভালো হতো
হোস্টেল এ গিয়া যাই উইঠতাম,হোস্টেলে গিয়ে যেয়ে থাকতাম
আইজ্জা একটা কান্ড হইছে চাকরির ইন্টারভিউ দিতাম গেসিলাম সকালে মোহাম্মদপুরে,আজকে একটা কান্ড হয়েছে চাকরির ইন্টারভিউ দিতে গিয়েছিলাম মোহাম্মদপুরে
দুপুরে আইসি ফ্ল্যাটের চাবি আর কাছেও আছে,দুপুরে এসেছি ফ্ল্যাটের চাবি আমার কাছেও আছে
দরজা খুই দেই আল্লাহরে দুলাভাই দেহি মাইয়া উগগার লগে,দরজা খুলে দেখি আল্লাহরে দুলাভাই দেখি মেয়ে একটার সাথে
মাইয়া ইগারে আগেও দেইখছিলাম মডেলিং করে,মেয়ে এটাকে আগেও দেখেছিলাম মডেলিং করে
দুলাভাই উলটা আরে গালিগালাজ শুরু কইচ্ছে,দুলাভাই উল্টা আমাকে গালিগালাজ শুরু করছে
যেন যেন অসময়ে চলি আইছিলাম আর ই অপরাধ হইছে,যেন যেন অসময়ে চলে এসেছি আমারই অপরাধ হয়েছে
সত্যি এসময়ে খুব ভয় হাইসিলাম হেতের চেহারা দেই,সত্যিই এই সময় খুব ভয় পেয়েছিলাম তার চেহারা দেখে
সেজোভাই রে কি কইতাম।,সেজো ভাইকে কি বলব
আইজ আম্মারে দেইখতাম গেসিলাম ভাইয়ের বাসাত,আজকে আম্মাকে দেখতে গিয়েছিলাম ভাইয়ের বাসায়
ভাবি আরে দেই খুশি হই গেসিল কইল ভালা ই হইছে আন্নে আইছেন,ভাবি আমাকে দেখে খুশি হয়ে গিয়েছিল বলল ভালো হয়েছে আপনি এসেছেন
দুইদিন ধরি রহিমা আইয়ে ন। কা,দুইদিন ধরে রহিমা আসেনা কা
কাপড়গুন ধুই দিলে ভাল হইত,কাপড়গুলো ধুয়ে দিলে ভালো হতো
ভাবির কথা হুনি অনেক খারাপ লাইগল,ভাবীর কথা শুনে অনেক খারাপ লাগলো
বুইযলাম না সেজজা ভাই বাসাত ও এত কাজ করি,বুঝলাম না সেজো ভাইয়ের বাসায়ও এত কাজ করি
কিন্তু কাপড় ধুইতাম তো কয় না,কিন্তু কাপড় ধুতে তো বলে না
কলের চেয়েও মনে হয় আর চোখ দি বেশি হানি হরে,কলের চেয়েও মনে হয় আমার চোখ দিয়ে বেশি পানি পড়ে
চলো এক্কান এক্কান করে গা।,চলো একটা একটা করে গাও
আইজকা বাসে করি এক্কানা বাইত যাইগা,আজকে বাসে করে একেবারে বাড়ি যাই
"কল্যানপুরের মাঝখানে জ্যাম নাই, যাত্রিও অনেক ",কল্যাণপুরে মাঝখানে জ্যাম নাই যাত্রীও অনেক
আব্বা মারা গেছে দুইমাস হই গেছে,আব্বা মারা গেছে দুই মাস হয়ে গেছে
অনেক দিন ধরি কিডনি ডায়ালাইসিস কইতত,অনেকদিন ধরে কিডনি ডায়ালাইসিস করতো
অনেক কষ্ট হাইছিল,অনেক কষ্ট পেয়েছিল
এক বছর সাত মাস ধরে ঘরে বইডা,এক বছর সাত মাস ধরে ঘরে বসা
শেষ দিকে ভাইবইনেরা ডায়লাইসিস কইরতো চায় না,শেষদিকে ভাই-বোনেরা ডায়ালাইসিস করতে চায়না
হেগুনের আবার কি দোষ,ওদের আবার কি দোষ
চিকিতসার লাই এক এক গ্রামের তুন,চিকিৎসার জন্য এক এক গ্রামের থেকে
সব কটা জমি বিকরি করি দিতে হইছে,সবকটা জমি বিক্রি করে দিতে হয়েছে
তৃতীয় শ্রেণির সরকারি চাকরির সঞ্চয় গুলি তো তেমন কিছু ন,তৃতীয় শ্রেণীর সরকারি চাকরির সঞ্চয় গুলি ত কেমন কিছু না
কিছুই আংগো না দাদার সামান্য জমি কদ্দুর ছারা তাও শেষ,কিছুই আমাদের না দাদার সামান্য জমি কিছু ছাড়া তাও শেষ
কলেনিতে আমরা এককান বাসাত থাইকতাম,কলোনিতে আমরা একটা বাসায় থাকতাম
হে বাসা ধরি লানের লাই ভাইয়া অনেক কষ্ট কইরছিল,সেই বাসা ধরে রাখার জন্য ভাইয়া অনেক কষ্ট করেছিল
আব্বা চাকরির জয়েন কইচ্ছে দুইবছর আগে,আব্বা চাকরিতে জয়েন করেছে দুই বছর আগে
ভাইয়া কইরছে চার মাস অইছে,ভাইয়া করেছে চার মাস হয়েছে
এর মইদ্ধ্যে বাসা ছোট মনে হইসে,এর মধ্যে বাসা ছোট মনে হয়েছে
ভাবি হত্তিদিন ই কয় এত লোক এককা বাসাত থায় কেননে,ভাবি প্রতিদিনই বলে এত লোক একটা বাসার থাকে কিভাবে
চার বইন আর মা নড়ার লাই জায়গা নাই,চার বোন আর মা নড়ার জন্য জায়গা নেই
হেতাগো বিয়া আব্বা মানি লয় ন,এদের বিয়ে আব্বা মেনে নেয় নি
হেতে মরি যানের হর সব ঠিক হই গেছে,সে মরে যাওয়ার পর সবকিছু ঠিক হয়ে গিয়েছে
বাসা আর খুব পছন্দ হইছে রান্নাঘর বিদেশের মতো,বাসা আমার খুব পছন্দ হয়েছে রান্নাঘর বিদেশের মতো
তারহর আবার বারান্দাও ইয়ানে দোলনাও আছে,তারপর আবার বারান্দাও সেখানে দোলনা আছে
সমস্যা হইলে ইয়ানে বেডরুম এককানি কম,সমস্যা হলো এখানে বেডরুম একটা কম
আংগো জায়গা হইছে আর জায়গা হইছে ড্রেসিং রুমে,আমাদের জায়গা হয়েছে আমার জায়গা হয়েছে ড্রেসিং রুমে
"আর জায়গা হইছে ড্রয়িং রুমে, ড্রয়িং ডাইনিং একলগে",আমার জায়গা হয়েছে ড্রয়িং রুমে ড্রইং ডাইনিং একসাথে
মেন দরজার লগেই এককান রাজবাড়ির মত খাট,মেইন দরজার সাথেই একটা রাজবাড়ীর মতো খাট
জিনিসটা এত হালকা ভাবে নিয়না,জিনিসটা এত হালকাভাবে নিও না
হাটখেতের মইধ্যে যে জংগি ফংগিরা,পাট ক্ষেতের মধ্যে যে জঙ্গি ফঙ্গিরা
আই লিটু মিয়া আর ফেসবুক পেজের থেই আন্নেগোরে স্বাগত জানাই,আমি লিটু মিয়া আমার ফেসবুক পেজ থেকে আপনাদেরকে স্বাগত জানাই
দর্শক বৃন্দ এগুলো হাটখেতে সন্দেহজনক লড়াছড়া দেহা যাইতেছে,দর্শকবৃন্দ এতগুলো পাটক্ষেতে সন্দেহজনক নাড়াচাড়া দেখা যাচ্ছে
লাইভ জমি গেছে এক ভিউ দশ ভিউ হাজার ভিউ,লাইভ জমে গেছে এক ভিউ দশ ভিউ হাজার ভিউ
ভালোই জমে উইঠছে কিন্তু বাঙালি মাত্রই হুজুগে।,ভালই জমে উঠেছে কিন্তু বাঙালি মাত্রই হুজুগে
"মোবাইল ফোন হাতো ইউটিউবার, ফেসবুকার",মোবাইল ফোন হাতের ইউটিউবার ফেসবুকার
টিকটকাররা ব্যাপারটাকে স্মার্ট জনসভায় উন্নীত করি হালাইছে।,টিকটকার রা ব্যাপারটা কি স্মার্ট জনসভায় উন্নতি করে ফেলেছে
ইদানীং এলাকায় ডাকাতি বাড়ি গেছে।,ইদানিং এলাকায় ডাকাতি বেড়ে গেছে
হইতে পারে বাইরে তুন আই ডাকাইতরা হাটখেতে ঢুকি বই রইছে।,হতে পারে বাহিরে থেকে এসে ডাকাতরা পাটক্ষেতের ঢুকে বসে রয়েছে
রাইত নামার লগে লগে কাইজ কামে নামবো,রাত নামার সাথে সাথে কাজ কামে নামবে
হেগুনকার হাতে বন্দুকটন্দুক কী পরিমাণ আছে,তাদের হাতে বন্ধুক টন্দুক কি পরিমাণ আছে
ছোডবেলা তুন আর বাপের ওপর আর খুব রাগ।,ছোটবেলা থেকেই আমার বাবার উপর আমার খুব রাগ
লোকটারে ফছন্দ কইরতাম না কোনদিন।,লোকটাকে পছন্দ করতাম না কখনো
অফছন্দের ব্যাক মানুষের লগে আর বাপের মিল খুঁজি হাই।,অপছন্দের সব মানুষের সাথে আমার বাবার মিল খুঁজে পাই
কলেজের শরিফুজ্জামান স্যার তুন শুরু করি মেসের বাড়িওয়ালা,কলেজের শরিফুজ্জামান স্যার থেকে শুরু করে ম্যাচের বাড়িওয়ালা
সব খিটখিটে মেজাজের লোক আমার অফছন্দ,সব খিটখিটে মেজাজের লোক আমার অপছন্দের
অকর্ম লোকে বিরক্তিকর লোকে এ কিল্লাই যেন বাপের মতো লাগে।,অকর্ম লোকের বিরক্তকর লোকে কিভাবে যেন বাবার মত লাগে
এহনকার যেমন এই ফল দোকানদার বেটারে বাপ বাপ লাগে,এখনকার যেমন এই ফল দোকানদার ব্যাটারে আব্বা আব্বা লাগে
একটু আগ পর্যন্ত যা-ও আর মাথার ওপর খানিকটা ছাতা আছিল,একটু আগ পর্যন্ত যাওয়ার আমার মাথার উপর খানিকটা ছাতা ছিল
অন দেহি হেতে নিজে দখল করি লইসেন।,এখন দেখি সে নিজে দখল করে ফেলেছেন
আমি দাঁড়াই ধপ ধপ বৃষ্টিতে ভিজিয়ের,আমি দাঁড়িয়ে ধবধব বৃষ্টিতে ভিজছি
"মাথায় এহনো কোনো বৃষ্টি হড়েনো, এই যা একটু রক্ষা আরি।",মাথায় এখনো কোন বৃষ্টি পড়েনি এই যা একটু রক্ষা আর কি
শ্যাম্পু করা চুলে বৃষ্টি পইড়লে এত বিরক্ত লাগে,শ্যাম্পু করা চুলে বৃষ্টি পড়লে এত বিরক্ত লাগে
" নাহ্, আর দাঁড়াই থাকা ঠিক হইতো ন।",আর দাঁড়িয়ে থাকা ঠিক হবে না
রিকশা দাঁড় করাই আমি ছুটলাম।,রিকশা দাঁড় করিয়ে আমি ছুটলাম
হিছন তুন ফলের দোকানদার মনে হয় ভদ্রতা দেখাই ডাক দিল,পেছন থেকে ফলের দোকানদার মনে হয় ভদ্রতা দেখিয়ে ডাক দিল
"‘ওস্তাদ, ছাতাটা?’আই কইলাম ‘রাখি দেন।",ওস্তাদ ছাতাটা আমি বললাম রেখে দেন
আইন্নে তো আর বাপের মতো,আপনি তো আমার বাবার মতো
শুনি কিল্লাই যানি লোকটার চেহারা বিষাদে হই গেল,শুনে কেন জানি লোকটার চেহারা বিষাদ হয়ে গেল
বেটা আর বাপেরে চিনে নাকি?,লোকটা আমার বাবাকে চেনে নাকি
চিনুম না ক্যান? খুব ভালা করি চিনি।,চিনবো না কেন খুব ভালো করে চিনি
তোমার বাপ আর আই মিলে মিষ্টির ব্যবসা  কইরতাম।,তোমার বাবা আর আমি মিলে মিষ্টির ব্যবসা করতাম
"আহ, কী দিন আছিল! হে সময় তো এত টাকা হয়সা আছিল না",আহ কি দিন ছিল সে সময় তো এত টাকা পয়সা ছিল না
কিন্তু দশ গেরামে নামডাক আছিল।,কিন্তু দশ গ্রামের নাম ডাক ছিল
তোমার বাপের জুয়ার দোষটাই ডুবাইল।,তোমার বাবার জুয়ার দোষ টা ডুবিয়েছে
আরেহ যাহ্! সব ভুয়া কথা।,আরে যা ভুয়া কথা
মেশিন দিয়া ব্যাগ বানাইতে সময় লাইগত ঘণ্টা দেড়েক।,মেশিন দিয়ে ব্যাগ বানাতে সময় লাগত ঘণ্টা দেড়েক
বাকি সারা রাত তোয়ার বাপ মদ খাইত,বাকি সারারাত তোমার বাপ মদ খেত
"তোয়ার মায়ে দেইখ ভাবত যে, রাতভর কাম কইরছে",তোমার আম্মু দেখে ভাবতো রাতভর কাজ করেছে
রাতভর কাম কইরেই লোকটার চোখ লাল গোল হই আছে।,রাতভর কাজ করে লোকটার চোখ লাল গোল হয়ে আছে
এই শয়তানের বাচ্চারা আমাদের দেশের সব কিসুর মইধ্যে নাক গলায়,এই শয়তানের বাচ্চারা আমাদের দেশের সবকিছুর মধ্যে নাক গলায়
আর্মির ভিতরে হেতাগো লোক সচিবালয়ের ভিতরে হেতগো লোক,আর্মির ভেতরে তাদের লোক সচিবালয়ের ভেতরে তাদের লোক
হেতারা ব্যাক জায়গায় জায়গায় লোকজন সেট করি রাখসে,তারা সব জায়গায় জায়গায় লোকজন সেট করে রেখেছে
কোন এরিয়ায় কত হিন্দু আছে কত শিক্ষিত হিন্দু আসে কত অশিক্ষিত হিন্দু আসে,কোন এলাকায় কত হিন্দু আছে কত শিক্ষিত হিন্দু আছে কত অশিক্ষিত হিন্দু আছে
হেতারা হেতাগো দিই কাম করায়।,তারা তাদের দিয়ে কাজ করায়
আমগো দেশের মধ্যে মারভেলের এজেন্ট হিসেবে হেতে আছে,আমাদের দেশের মধ্যে মারভেলের এজেন্ট হিসেবে সে আছে
"আর আংগো দেশের চোরগুন এত শতান এগুন,",আর আমাদের দেশের চোরেরা এত শয়তান এরা
"এগুন এদেশে খাইসে, এগুন জন্মাইসে এদেশে",এরা এদেশে খেয়েছে এরা জন্মিয়েছে এদেশে
"এগুনের বাপ দাদা জন্মাইসে এদেশে, এগুনের বংশ বিস্তার ইয়ানে হইসে, ",এদের বাপ-দাদার জন্মিয়েছে এদেশে এদের বংশ বিস্তার এখানে হয়েছে
এগুনে কি করে খায় চুরি করি,এরা কি করে খায় চুরি করে
ব্যাবসা বানিজ্য করে এদেশে চাকরি বাকরি করে এদেশো গান গায় কার,ব্যবসা-বাণিজ্য করে এদেশে চাকরি বাকরি করে এদেশে গান গায় কার
"আরে ভারতের যে গান গাস তোরা, তোগোরে কি ভারত নিব নি",আরে ভারতের যে ধান গাছ তোরা তোদের কি ভারত নিবে নাকি
এইযে হিয়ানে জাওন নাচনেস যেএডা,এই যে সেখানে যাওয়ার জন্য নাচছো যে
হিয়ানে জাওনের লাই তোগো কোনো লাভ হইবনি,সেখানে যাওয়া জন্য তোমাদের কোন লাভ হবে নাকি
তখন আর কিচ্ছু করন যাইতন,তখন আর কিছু করা যাবে না
মিরজাফর তোরা হইসস বেগগুন মিরজাফর,মীরজাফর তোরা হয়েছিস সবাই মীরজাফর
এই হেতি বই বই হারাদিন মিছা কথা কয়,এই সে বসে বসে সারাদিন মিথ্যা কথা বলে
হেতি রাইতরে দিন বানায় কয় হেতে বলে বিয়া করেনো,সে রাত্রে দিন বানিয়ে বলে সে নাকি বিয়ে করেনি
আংগো স্বাধীনতার যুদ্ধ অইছে একাত্তরে,আমাদের স্বাধীনতার যুদ্ধ হয়েছে একাত্তরে
আব্বা স্বাধীনতার যুদ্ধের সময় যুদ্ধ করে ন,আব্বা স্বাধীনতার যুদ্ধের সময় যুদ্ধ করে নি
হেতে মুক্তিযোদ্ধা ন,সে মুক্তিযোদ্ধা নয়
"আরে তোরা কস যে হ হেতি হাছা কইতাছে,","আরে তোরা বলিস যে হ্যা সে সত্য বলতছে, "
হেতি যে মিছা এগিন কথা কয় তোরা একবার ও কস নি,সে যে মিথ্যা এসব কথা বলে তোরা একবার ও বলেছিস নাকি
এত মিছা কথা কিল্লাই কনের,এত মিথ্যা কথা কেন বলেন সে সাংবাদিক তোদের সাজায় সাংবাদিক কতগুলো বসায় রাখে
সাংবাদিক হইতাম চাই আই,সাংবাদিক হতে চাই আমি
"ছোট বাচ্ছাগো মত, সুলুভ বাবুগো মত বই থায়",ছোট বাচ্চাদের মত শুলক বাবুদের মত বসে থাকে
হেতি বকি হেতি চলি,সে বলে সে চলে
