Noakhali_text,Formal_text
হেতেরা তিন ভাই  আছিল কিন্তু হেতেগোর মা  আছিলনা।,তারা তিন ভাই ছিল কিন্তু তাদের মা ছিলনা
বনের ভিত্ত্বে ছোড জায়গায় হেতেরা তিন ভাই একলগে থ্যাইকতো,বনের মধ্যে একটি ছোট্ট জায়গায় তারা তিন ভাই একসঙ্গে থাকতেন
একসময় এক রাজার এজ্ঞা হাতি আছিল,একসময় এক রাজার এক হাতি ছিল
আই বেইন্না হড়ালেয়া করি মন সচেতন রাখি,আমি সকালে পড়াশোনা করে মন সচেতন রাখি
বেয়ানের শুরুতেই হড়ালেয়া শুরু করা বালা হয়,সকালের শুরুতেই পড়াশোনা শুরু করা ভালো হয়
আই আইজ্জ্যা রাইচ্চা খানা খাইতান্ন,আমি আজকে রাতের খাবার  খাবো না
কিল্লাই আইজ্জ্যা রাইচ্চা খাইতি ন,কেন আজকে রাতে খাবা না?
আর খিদা লাগে ন,আমার ক্ষুধা লাগে নি
চল বেকে মেলি ঘ্যুইরতাম যাই,চলো সবাই মিলে ঘুরতে যাই
বহুুত দূরে যিয়ানে কেউ নাই,অনেক দূরে যেখানে কেউ নেই
তুউই কেইক্কান আছো,তুমি কেমন আছো?
তুই কি চাকরি করোর অনো,তুমি কি চাকরি করছো এখনো?
তুই কিয়া হড়ালেয়া করোর,তুমি কি পড়াশোনা করছো?
আই অন ঢাকা বিশ্ববিদ্যালয় হরালেয়া করি,আমি এখন বিশ্ববিদ্যালয়ে পড়াশোনা করছি
আই বিজ্ঞানে মাসটার অর্জন কইচ্ছী,আমি বিজ্ঞানে মাস্টার্স ডিগ্রি অর্জন করেছি
আন্নে যেনে আগাই জানেন হেটা গর্বের বিষয়,আপনি যেভাবে এগিয়ে যাচ্ছেন তা খুবই গর্বের বিষয়
আই হরে আন্নের দোয়ানে আইয়ুম,আমি পরে আপনার দোকানে আসব
আর বড় জীর বিয়ার জোগাড় চলের,আমার বড় মেয়ের বিয়ের আয়োজন চলছে
বিয়ার তারিক কোনসুমে ঠিক করন অইছে,বিয়ের তারিখ কখন ঠিক করা হয়েছে?
অন হইযনত বেককিছু ঠিকঠাক যোগাড় কইচ্ছি,এখন পর্যন্ত সবকিছু ঠিকমতো আয়োজন করছি
সাহায্যের লাই আই ইয়ানে আছি,সাহায্যের জন্য আমি এখানে আছি
আই সাগর মেলা হছন্দ করি,আমি সাগর অনেক পছন্দ করি
তুউই কিল্লাই সাগর হছন্দ করো,কেন তুমি সাগর পছন্দ করো?
সাগরের হানি অনেক নীশ,সাগরের পানি অনেক নীল
তোয়ার নাম কি,তোমার নাম কি?
চলো হালাই যাই,চলো পালিয়ে যাই
আর ফকেট মানি লাইগব,আমার পকেট মানি লাগবে
এত টেয়া কোনাই হাইয়ুম,এতো টাকা কোথায়  পাবো ?
টেয়া দি কিইরবা,টাকা দিয়ে কি করবা?
এগগা গাড়ি কিনিয়ুম,একটি গাড়ি কিনবো
কালা রং আর মেলা প্রিয়,কালো রঙ আমার অনেক প্রিয়
তোয়ার হিয় রং কিয়া,তোমার প্রিয় রঙ কি?
তুউই কি দেইকছো,তুমি কি দেখেছো ?
আরে ছাড়া ভালা থাকিও,আমাকে ছাড়া ভালো থেকো
আর বয়স অল্ফ,আমার বয়স কম
ভুল করিআলাইছি,ভুল করে ফেলেছি
তুউই চাইলে আই চাদ আনি দিয়ুম,তুমি চাইলে আমি চাঁদ এনে দিবো
সকালে চা খাইবা,সকালে চা খাবা ?
এককানা ইমি আয়,একটু এইদিকে আসো
হোলাগা অনেক মেদাবি,ছেলেটি অনেক মেধাবী
মাইয়াগা হোলাগারে ভালোবাইসত,মেয়েটি ছেলেটিকে ভালোবাসতো
মাইয়াগা অনেক বুদ্ধিমতি,মেয়েটি অনেক বুদ্ধিমতী
মাইয়াগা অংকে কাচা,মেয়েটি অংকে কাঁচা
আই হেতের নাম জানি,আমি ওর নাম জানি
হেতে আর গেরামের বাড়ীত আইছিলো,সে আমার গ্রামের বাড়ীতে এসেছিল
উনি গেরাম তুন ঢাকায় আইছিলেন,উনি গ্রাম থেকে ঢাকায় এসেছিলেন
হেতে ঢাকার তুন গেরামে গেছিলো,ও ঢাকা থেকে গ্রামে গিয়েছিল
হেতে রাইতে ঘুমাইতে গেছিলেন,তিনি রাতে ঘুমতে গিয়েছিলেন
হেতে বাগানে দৌড়ায়,সে বাগানে দৌড়ায়
হেতে রাস্তার মাইঝখানে দৌড়ায়,উনি রাস্তার মাঝে দৌড়ায়
আই তোমার লগে একমত অইতে হাইরতেছি না,আমি তোমার সাথে একমত হতে পারছি না
আই চেষ্টা কইরছিলাম,আমি চেষ্টা করেছিলাম
আর বইকান দেয়ান,আমাকে বইটি দেখান
এক্কারি ঠিক কতা কইছেন,একদম ঠিক কথা বলেছ
বাগানের মইধ্যে দি কে দৌড়াইলো?,বাগানের মধ্যে দিয়ে কে দৌড়াল?
আন্নে খেলায় জিতছেন,আপনি খেলায় জিতলেন
তুমি খেলায় জিতলা,তুমি খেলায় জিতলে
তুমি যাও ইয়ান তুন,তুমি যাও এখান থেকে
আন্নে যান ইয়ান তুন,আপনি যান এখান থেকে
তুই যা ইয়ান তুন,তুই যা এখান থেকে
আন্নেরা হার্কে ঘুরি বেড়ান,আপনারা পার্কে ঘুরে বেড়ান
হেতনে চেষ্টা করেন,উনি চেষ্টা করেন
